,City,Latitude,Longitude,Max_Temperature,Humidity,Cloudiness,Wind_Speed
109,San Rafael,-34.61,-68.33,61.61,8,63,16.28
110,Hambantota,6.12,81.12,80.51,81,100,19.1
111,Bafata,12.17,-14.67,77.63,93,100,5.91
112,Half Moon Bay,37.46,-122.43,79,88,75,6.93
113,Pemba,-12.97,40.52,75.2,78,20,18.34
114,Nome,30.04,-94.42,98.01,59,20,10.29
115,Ponta Delgada,37.73,-25.67,66.2,100,75,6.93
116,Tuni,-16.67,-68.14,51.8,37,75,10.29
117,Tiksi,71.64,128.87,50.27,78,0,4.43
118,Bluff,-23.58,149.07,47.21,43,0,7.2
119,Wanning,48.64,13.53,66.99,93,90,2.24
120,Elko,40.83,-115.76,87.01,20,1,14.99
121,Padang,-0.92,100.36,80.51,84,100,12.97
122,Okhotsk,59.36,143.24,53.69,86,100,1.97
123,Hokitika,-42.72,170.96,48.83,79,100,7.43
124,Miri,10.31,9.75,71.15,91,99,4.45
125,Pyapon,16.29,95.68,78.53,90,100,9.95
126,Alekseyevka,53.25,50.49,62.6,100,75,6.71
127,Dombarovskiy,50.76,59.54,72.05,22,81,7.99
128,Kavieng,-2.57,150.8,83.03,71,99,5.01
129,Esfarayen,37.08,57.51,71.6,30,0,4.7
130,Trenggalek,-8.05,111.71,63.23,93,93,3.13
131,Okoneshnikovo,54.84,75.08,60.17,64,100,7.78
132,Ostrovnoy,68.05,39.51,39.29,76,99,5.59
133,Nabire,-3.36,135.5,70.97,96,99,2.89
134,Lata,30.78,78.62,43.25,96,68,0.43
135,Palmas,-10.18,-48.33,91.4,27,0,10.29
136,Port-Cartier,50.03,-66.88,64.99,82,75,8.05
137,Tingi,-11.3,35.03,64.85,60,1,4.03
138,Provideniya,64.42,-173.23,51.17,91,100,2.66
139,Tasiilaq,65.61,-37.64,44.6,81,75,6.93
140,Cape Town,-33.93,18.42,59,82,20,12.75
141,Northam,-31.65,116.67,53.6,66,0,19.46
142,Wajima,37.4,136.9,78.89,81,0,18.61
143,Bilibino,68.06,166.44,61.97,61,2,1.72
144,Ilulissat,69.22,-51.1,50,46,20,3.36
145,Tautira,-17.73,-149.15,80.6,69,40,8.05
146,Flinders,-34.58,150.85,48.99,57,33,26.4
147,Tiznit,29.7,-9.73,68.63,86,100,12.33
148,Salalah,17.01,54.1,77,94,90,2.24
149,Cairns,-16.92,145.77,64.4,72,40,8.05
150,Nouadhibou,20.93,-17.03,75.2,69,0,23.04
151,Kieta,-6.22,155.63,79.43,78,94,4.99
152,Emba,34.81,32.42,80.6,88,20,5.82
153,Ucluelet,48.94,-125.55,68,63,75,11.41
154,Valer,41.76,-6.18,61.07,53,100,5.21
155,Delbruck,51.77,8.57,73.4,46,0,13.87
156,Saint-Philippe,45.36,-73.48,71.01,68,75,11.41
157,Urengoy,65.96,78.37,48.29,75,100,8.72
158,Numan,9.46,12.04,74.75,92,100,6.02
159,Oksovskiy,62.61,39.91,40.55,87,25,5.23
160,Christchurch,-43.53,172.64,42.01,93,99,9.17
161,Khao Yoi,13.24,99.82,77.09,83,100,3.87
162,Yar-Sale,66.83,70.83,41.63,90,0,6.69
163,Uruzgan,32.93,66.63,61.97,67,0,5.5
164,Coihaique,-45.58,-72.07,51.8,53,75,8.05
165,La Ronge,55.1,-105.3,60.8,51,75,18.34
166,Tornio,61.12,27.27,60.8,76,0,6.93
167,Kaifeng,34.8,114.35,73.4,94,0,6.71
168,Tessalit,20.2,1.01,98.51,8,0,5.66
169,Omsukchan,62.53,155.8,57.11,59,7,7.05
170,Dhidhdhoo,6.88,73.1,83.03,79,100,14.23
171,Rabo de Peixe,37.8,-25.58,66.2,100,75,6.93
172,Moose Factory,51.26,-80.61,66.2,63,75,10.29
173,Guacimo,8.09,-76.36,87.8,70,20,13.87
174,Teahupoo,-17.83,-149.27,80.6,69,40,8.05
175,Butembo,0.12,29.29,61.61,97,96,2.19
176,Pisco,-13.71,-76.2,71.6,30,20,9.17
177,Nelson Bay,-32.72,152.14,50,61,0,25.28
178,Suba,28.73,103.51,66.83,50,0,5.53
179,San Patricio,-26.98,-56.83,58.19,79,0,3.71
180,Tezu,27.93,96.16,78.53,75,100,1.19
181,Clyde River,70.47,-68.59,48.2,81,5,14.99
182,Tynda,55.15,124.74,54.05,93,99,1.05
183,Kloulklubed,7.04,134.26,77,94,40,12.37
184,Fairbanks,64.84,-147.72,63,82,90,2.55
185,Moussoro,13.64,16.49,83.75,51,6,9.64
186,Hithadhoo,-0.6,73.08,83.03,79,100,12.06
187,Codrington,-28.95,153.24,51.8,37,0,12.75
188,Hobart,-42.88,147.33,46.4,75,40,11.41
189,Sturgis,51.94,-102.54,62.87,55,62,12.71
190,Bani Walid,31.76,14,69.71,98,1,7
191,Luderitz,-26.65,15.16,55.4,87,24,11.41
192,Bathsheba,13.22,-59.52,86,66,40,14.99
193,Yarmouth,43.84,-66.12,69.8,68,20,12.75
194,Trinidad,-14.83,-64.9,80.6,47,0,9.17
195,Sorland,67.67,12.69,58.91,76,100,16.24
196,Lebu,8.96,38.73,54.95,95,100,1.88
